Rk,Player,AV,Sk,Def%,PD,Season,Age,Team,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,STSnp,ST %,Pos
1,Aaron Donald,24,13.5,84.5,1,2020,29,LAR,16,16,13.5,27,18,45,14,28,0,0,0,1,0,0,865,36,8.2,DT
2,J.J. Watt,23,20.5,93,10,2014,25,HOU,16,16,20.5,59,19,78,29,51,1,80,1,10,9,0.8,1049,74,16,LDE
3,Stephon Gilmore,22,0,94.4,20,2019,29,NWE,16,16,0,44,9,53,0,0,6,126,2,20,0,0,952,0,0,RCB
4,J.J. Watt,21,17.5,96.2,8,2015,26,HOU,16,16,17.5,57,19,76,29,50,0,0,0,8,4,0.3,1004,70,14.7,RDE
5,Myles Garrett,20,14,76.5,3,2023,28,CLE,16,16,14,33,9,42,17,30,0,0,0,3,0,0,812,59,11.6,DE
6,Matt Milano,19,1.5,90.1,11,2022,28,BUF,15,15,1.5,72,27,99,12,7,3,84,1,11,0,0,947,24,5.9,LLB
7,Micah Parsons,19,13.5,80.1,3,2022,23,DAL,17,17,13.5,42,23,65,13,26,0,0,0,3,0,0,919,0,0,LLB
8,Fred Warner,19,1,93.7,6,2020,24,SFO,16,16,1,79,46,125,5,7,2,3,0,6,0,0,971,19,4.2,MLB
9,Tre'Davious White,19,1,91.8,17,2019,24,BUF,15,15,1,48,10,58,4,1,6,57,0,17,0,0,951,77,18.6,RCB/LCB
10,Mario Williams,19,14.5,72.5,2,2014,29,BUF,16,16,14.5,36,6,42,19,18,0,0,0,2,0,0,787,68,14.5,LDE
11,Geno Atkins,18,11,72.4,0,2015,27,CIN,16,16,11,31,11,42,17,21,0,0,0,0,0,0,786,6,1.4,RDT
12,Nick Bosa,18,18.5,69.7,1,2022,25,SFO,16,16,18.5,41,10,51,19,48,0,0,0,1,0,0,746,8,1.8,RDE
13,Marcell Dareus,18,10,62.3,1,2014,24,BUF,15,15,10,36,13,49,12,14,0,0,0,1,0,0,677,57,12.2,RDT
14,Aaron Donald,18,11,79.1,1,2015,24,STL,16,16,11,44,25,69,22,37,0,0,0,1,0,0,915,76,16.4,LDT
15,Xavien Howard,18,0,90.5,20,2020,27,MIA,16,16,0,40,11,51,1,0,10,77,0,20,0,0,936,2,0.4,RCB
16,Chris Jones,18,10.5,68.1,4,2023,29,KAN,16,16,10.5,20,10,30,13,29,0,0,0,4,0,0,741,0,0,DT
17,Shaquille Leonard,18,7,91.3,8,2018,23,IND,15,15,7,111,52,163,12,8,2,38,0,8,0,0,956,20,4.5,LLB
18,Micah Parsons,18,13,78.5,3,2021,22,DAL,16,16,13,64,20,84,20,30,0,0,0,3,1,0.1,904,14,2.9,LLB
19,Richard Sherman,18,0,98.7,8,2014,26,SEA,16,16,0,45,12,57,2,0,4,81,0,8,0,0,966,94,21.8,LCB
20,Ndamukong Suh,18,8.5,81.6,3,2014,27,DET,16,16,8.5,44,9,53,21,20,0,0,0,3,0,0,853,58,13.7,RDT
21,T.J. Watt,18,15,83.1,7,2020,26,PIT,15,15,15,43,10,53,23,41,1,0,0,7,0,0,855,45,9.9,LOLB
22,T.J. Watt,18,19,82.5,8,2023,29,PIT,17,17,19,48,20,68,19,36,1,24,0,8,0,0,931,36,8,LB
23,Aaron Donald,17,12.5,89.5,4,2021,30,LAR,17,17,12.5,38,46,84,19,25,0,0,0,4,0,0,1041,0,0,LDT
24,Myles Garrett,17,16,77.2,3,2021,26,CLE,17,17,16,33,18,51,17,33,0,0,0,3,0,0,865,53,12.5,LDE
25,Cameron Heyward,17,9,80.5,6,2019,30,PIT,16,16,9,51,32,83,11,23,0,0,0,6,0,0,873,112,26.4,DT
26,Dont'a Hightower,17,5.5,71.7,4,2019,29,NWE,15,15,5.5,47,24,71,8,13,0,0,0,4,0,0,723,86,19.2,MLB
27,Justin Houston,17,22,97.3,5,2014,25,KAN,16,16,22,60,9,69,23,25,0,0,0,5,0,0,1033,1,0.2,LOLB
28,Danielle Hunter,17,14.5,84.4,0,2018,24,MIN,16,16,14.5,51,21,72,21,19,0,0,0,0,0,0,877,146,32.7,LDE
29,Cameron Jordan,17,13,93.3,11,2017,28,NOR,16,16,13,48,14,62,17,28,1,0,1,11,0,0,987,71,15.4,LDE
30,Khalil Mack,17,12.5,71.8,4,2018,27,CHI,14,13,12.5,37,10,47,10,18,1,27,1,4,0,0,755,0,0,LOLB
31,Von Miller,17,11,76.2,1,2015,26,DEN,16,16,11,30,5,35,9,32,0,0,0,1,0,0,835,8,1.7,LOLB
32,Roquan Smith,17,4.5,47.6,6,2022,25,CHIBAL,17,17,4.5,103,66,169,11,4,3,41,0,6,0,0,1039,8,0.9,MLB
33,Roquan Smith,17,1.5,92.2,8,2023,26,BAL,16,16,1.5,84,74,158,5,5,1,30,0,8,0,0,1067,1,0.2,LB
34,Bobby Wagner,17,4.5,99.4,3,2016,26,SEA,16,16,4.5,85,82,167,7,18,1,9,0,3,0,0,1073,72,16.4,MLB
35,Bobby Wagner,17,1,93.3,11,2018,28,SEA,15,15,1,84,54,138,6,8,1,98,1,11,0,0,925,70,15.3,MLB
36,Fred Warner,17,2,95.8,10,2022,26,SFO,17,17,2,79,51,130,3,6,1,20,0,10,0,0,1026,62,14.2,MLB
37,Fred Warner,17,2.5,89.9,11,2023,27,SFO,17,17,2.5,82,50,132,6,5,4,66,0,11,0,0,982,65,15,LB
38,J.J. Watt,17,16,90.1,4,2018,29,HOU,16,16,16,47,14,61,18,25,0,0,0,4,0,0,963,62,13.3,LDE
39,Quinnen Williams,17,12,60.6,4,2022,25,NYJ,16,16,12,35,20,55,12,28,0,0,0,4,0,0,690,74,16.1,RDE
40,Quincy Williams,17,2,96.1,10,2023,27,NYJ,17,16,2,95,44,139,15,4,1,11,0,10,0,0,1093,9,1.9,LB
41,DeForest Buckner,16,7.5,78.7,2,2019,25,SFO,16,16,7.5,34,28,62,9,14,0,0,0,2,1,0.1,810,158,36,RDT
42,Calais Campbell,16,8,77.2,6,2016,30,ARI,16,16,8,34,19,53,12,21,1,1,0,6,0,0,830,160,33.5,LDE
43,Calais Campbell,16,14.5,77.4,3,2017,31,JAX,16,16,14.5,47,20,67,14,30,0,0,0,3,0,0,801,160,33,RDE
44,Fletcher Cox,16,10.5,80,1,2018,28,PHI,16,16,10.5,33,13,46,12,34,0,0,0,1,0,0,830,2,0.5,RDT
45,Demario Davis,16,6.5,97.1,4,2023,34,NOR,17,17,6.5,74,47,121,12,11,0,0,0,4,0,0,1075,3,0.6,MLB
46,Thomas Davis,16,5.5,91.2,7,2015,32,CAR,16,16,5.5,75,30,105,8,12,4,22,0,7,0,0,1003,68,14.3,RLB
47,Aaron Donald,16,20.5,90.4,1,2018,27,LAR,16,16,20.5,41,18,59,25,41,0,0,0,1,0,0,914,81,17.1,RDT
48,Minkah Fitzpatrick,16,0,47.5,9,2019,23,MIAPIT,16,16,0,44,25,69,1,1,5,130,1,9,0,0,1046,67,7.5,DB
49,Kyle Fuller,16,0,96.3,21,2018,26,CHI,16,16,0,45,10,55,0,0,7,52,0,21,0,0,1013,96,22.6,LCB
50,Everson Griffen,16,13,79.4,1,2017,30,MIN,15,15,13,31,14,45,12,25,0,0,0,1,0,0,790,46,10.3,RDE
51,Damon Harrison,16,2.5,60.6,1,2016,28,NYG,16,16,2.5,55,31,86,6,4,0,0,0,1,0,0,673,45,9.9,LDT
52,Cameron Heyward,16,12,79.7,3,2017,28,PIT,15,15,12,30,15,45,16,22,0,0,0,3,0,0,782,123,27.8,LDE
53,Cameron Heyward,16,10,81.9,9,2021,32,PIT,17,17,10,53,36,89,15,17,1,0,0,9,0,0,955,109,22.2,DT
54,Marlon Humphrey,16,0,98.1,14,2019,23,BAL,16,15,0,53,12,65,4,1,3,14,0,14,0,0,961,39,9,LCB
55,Chris Jones,16,15.5,79.8,4,2022,28,KAN,17,17,15.5,30,14,44,17,29,0,0,0,4,0,0,916,0,0,RDT
56,Sean Lee,16,0,92.4,1,2016,30,DAL,15,15,0,93,52,145,12,2,0,0,0,1,0,0,973,73,16.6,RLB
57,Khalil Mack,16,11,90.5,3,2016,25,OAK,16,16,11,54,19,73,14,26,1,6,1,3,0,0,948,76,16.1,RDE
58,Von Miller,16,13.5,81.2,3,2016,27,DEN,16,16,13.5,62,16,78,13,24,0,0,0,3,0,0,932,0,0,LOLB
59,Marcus Peters,16,0,90.3,20,2016,23,KAN,15,15,0,35,10,45,0,0,6,63,0,20,0,0,1007,6,1.3,LCB
60,Bobby Wagner,16,1.5,93.1,6,2017,27,SEA,16,16,1.5,97,36,133,13,13,2,7,0,6,0,0,1022,74,15.5,MLB
61,Muhammad Wilkerson,16,12,89.3,7,2015,26,NYJ,16,15,12,39,25,64,11,28,0,0,0,7,0,0,937,73,15.4,LDE
62,DeForest Buckner,15,9.5,72.8,3,2020,26,IND,15,14,9.5,37,21,58,10,26,0,0,0,3,0,0,751,129,29.3,LDT
63,Calais Campbell,15,7,73.8,3,2014,28,ARI,14,14,7,48,10,58,16,11,1,23,0,3,0,0,781,112,25.2,LDE
64,Jamie Collins,15,7,80.7,7,2019,30,NWE,16,15,7,58,23,81,10,10,3,85,1,7,0,0,813,200,44.7,LLB
65,Maxx Crosby,15,14.5,95.4,2,2023,26,LVR,17,17,14.5,55,35,90,23,31,0,0,0,2,0,0,1081,17,3.9,DE
66,Demario Davis,15,3,92.8,7,2021,32,NOR,16,16,3,70,35,105,13,10,0,0,0,7,0,0,1037,6,1.3,MLB
67,Demario Davis,15,6.5,100,6,2022,33,NOR,17,17,6.5,54,55,109,10,8,1,4,0,6,0,0,1132,4,0.9,MLB
68,Trevon Diggs,15,0,88.2,21,2021,23,DAL,16,16,0,43,9,52,0,0,11,142,2,21,0,0,1015,5,1,LCB
69,Aaron Donald,15,8,76.1,5,2016,25,LAR,16,16,8,36,11,47,17,31,0,0,0,5,0,0,829,63,14,LDT
70,Aaron Donald,15,11,73.6,1,2017,26,LAR,14,14,11,32,9,41,15,27,0,0,0,1,0,0,790,72,14.5,RDE
71,Aaron Donald,15,8,76.5,3,2023,32,LAR,16,16,8,28,25,53,16,23,0,0,0,3,0,0,867,7,1.5,DT
72,Myles Garrett,15,12,70.3,2,2020,25,CLE,14,14,12,33,15,48,10,18,0,0,0,2,0,0,758,60,14.1,LDE
