Rk,Player,AV,Y/Tgt,Season,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,1D,Succ%,Touch,TotOff,YScm,RtY,OffSnp,Snap_perc,DefSnp,Def%,STSnp,ST %,AV,Pos
1,CeeDee Lamb,20,9.7,2023,24,DAL,17,17,181,135,1749,13,12,102.9,74.6,80,63.5,149,113,1862,0,991,83.7,0,0,1,0.2,20,WR
2,Tyreek Hill,18,10.8,2018,24,KAN,16,16,137,87,1479,17,12,92.4,63.5,60,55.5,109,151,1630,213,905,86.6,0,0,52,11.2,18,WR
3,Tyreek Hill,18,10.5,2023,29,MIA,16,16,171,119,1799,15.1,13,112.4,69.6,83,57.9,125,15,1814,0,695,63.3,0,0,3,0.7,18,WR
4,Cooper Kupp,18,10.2,2021,28,LAR,17,17,191,145,1947,13.4,16,114.5,75.9,89,63.4,149,18,1965,28,1024,94,0,0,60,13,18,WR
5,Antonio Brown,17,9.5,2015,27,PIT,16,16,193,136,1834,13.5,10,114.6,70.5,84,56,139,20,1862,212,1029,95.8,0,0,57,12.8,17,WR
6,Michael Thomas,17,9.3,2019,26,NOR,16,15,185,149,1725,11.6,9,107.8,80.5,91,70.8,150,-9,1716,0,942,88.5,0,0,7,1.5,17,WR
7,Davante Adams,16,9.2,2020,28,GNB,14,14,149,115,1374,11.9,18,98.1,77.2,73,65.1,115,0,1374,0,774,74.5,0,0,7,1.6,16,WR
8,A.J. Brown,16,10.3,2022,25,PHI,17,16,145,88,1496,17,11,88,60.7,59,51.7,88,0,1496,0,1004,85.2,0,0,6,1.3,16,WR
9,Julio Jones,16,9.2,2015,26,ATL,16,16,203,136,1871,13.8,8,116.9,67,93,57.6,136,0,1871,0,969,85.1,0,0,0,0,16,WR
10,Julio Jones,16,10.9,2016,27,ATL,14,14,129,83,1409,17,6,100.6,64.3,64,58.9,83,0,1409,0,705,67.9,4,0.4,15,3.2,16,WR
11,Michael Thomas,16,9.6,2018,25,NOR,16,16,147,125,1405,11.2,9,87.8,85,74,72.8,125,0,1405,0,929,88.4,0,0,6,1.4,16,WR
12,Davante Adams,15,9.2,2021,29,GNB,16,16,169,123,1553,12.6,11,97.1,72.8,84,59.8,123,0,1553,0,886,79.4,0,0,6,1.4,15,WR
13,Brandon Aiyuk,15,12.8,2023,25,SFO,16,16,105,75,1342,17.9,7,83.9,71.4,61,70.5,75,0,1342,0,803,75.3,0,0,2,0.5,15,WR
14,A.J. Brown,15,9.2,2023,26,PHI,17,17,158,106,1456,13.7,7,85.6,67.1,70,56.3,106,0,1456,0,1019,88.8,0,0,0,0,15,WR
15,Stefon Diggs,15,9.2,2020,27,BUF,16,15,166,127,1535,12.1,8,95.9,76.5,73,65.1,128,1,1536,0,965,88.7,0,0,5,1.1,15,WR
16,Stefon Diggs,15,9.3,2022,29,BUF,16,16,154,108,1429,13.2,11,89.3,70.1,74,64.3,109,-3,1426,0,836,77.1,0,0,4,1,15,WR
17,Tyreek Hill,15,10.1,2022,28,MIA,17,17,170,119,1710,14.4,7,100.6,70,77,56.5,126,32,1742,-4,800,75.7,0,0,7,1.5,15,WR
18,Justin Jefferson,15,9.8,2022,23,MIN,17,17,184,128,1809,14.1,8,106.4,69.6,80,57.6,132,58,1833,0,1079,92.4,0,0,0,0,15,WR
19,Amon-Ra St. Brown,15,9.2,2023,24,DET,16,16,164,119,1515,12.7,10,94.7,72.6,75,61.6,123,16,1539,0,1010,85.7,0,0,6,1.3,15,WR
20,Davante Adams,14,8.4,2022,30,LVR,17,17,180,100,1516,15.2,14,89.2,55.6,65,46.1,103,-11,1515,0,1044,94.7,0,0,1,0.2,14,WR
21,Antonio Brown,14,9.4,2017,29,PIT,14,14,163,101,1533,15.2,9,109.5,62,69,50.9,101,0,1533,61,888,80.3,0,0,42,9.5,14,WR
22,T.Y. Hilton,14,9.3,2016,27,IND,16,16,155,91,1448,15.9,6,90.5,58.7,66,54.2,91,0,1448,10,948,86.5,0,0,9,1.9,14,WR
23,Julio Jones,14,9.8,2017,28,ATL,16,16,148,88,1444,16.4,3,90.3,59.5,67,54.7,89,15,1459,0,765,74.7,0,0,3,0.7,14,WR
24,Julio Jones,14,9.9,2018,29,ATL,16,16,170,113,1677,14.8,8,104.8,66.5,80,59.4,115,12,1689,0,818,77.2,5,0.5,3,0.7,14,WR
25,Travis Kelce,14,8.9,2018,29,KAN,16,16,150,103,1336,13,10,83.5,68.7,68,62.7,103,0,1336,0,993,95,0,0,0,0,14,TE
26,CeeDee Lamb,14,8.7,2022,23,DAL,17,17,156,107,1359,12.7,9,79.9,68.6,67,55.1,117,47,1406,0,1015,87.3,0,0,1,0.2,14,WR
27,Puka Nacua,14,9.3,2023,22,LAR,17,17,160,105,1486,14.2,6,87.4,65.6,68,56.9,117,89,1575,0,1000,87.1,0,0,7,1.5,14,WR
28,Deebo Samuel,14,11.6,2021,25,SFO,16,15,121,77,1405,18.2,6,87.8,63.6,51,50.4,136,389,1770,75,829,76,0,0,9,2,14,WR
29,Michael Thomas,14,8.4,2017,24,NOR,16,14,149,104,1245,12,5,77.8,69.8,71,59.1,104,0,1245,0,851,82.1,0,0,6,1.3,14,WR
30,Robert Woods,14,9.4,2018,26,LAR,16,16,130,86,1219,14.2,6,76.2,66.2,66,59.2,105,157,1376,0,1041,94.6,0,0,7,1.5,14,WR
31,Odell Beckham Jr.,13,9.2,2015,23,NYG,15,15,158,96,1450,15.1,13,96.7,60.8,68,53.2,97,3,1453,26,998,89.6,1,0.1,15,3,13,WR
32,A.J. Brown,13,10.1,2020,23,TEN,14,12,106,70,1075,15.4,11,76.8,66,55,61.3,70,0,1075,42,760,70.8,0,0,6,1.3,13,WR
33,Ja'Marr Chase,13,11.4,2021,21,CIN,17,17,128,81,1455,18,13,85.6,63.3,56,52.3,88,21,1476,0,939,85.4,0,0,0,0,13,WR
34,Brandin Cooks,13,9.5,2017,24,NWE,16,15,114,65,1082,16.6,7,67.6,57,42,49.1,74,40,1122,0,1056,92.7,0,0,2,0.4,13,WR
35,Brandin Cooks,13,10.3,2018,25,LAR,16,16,117,80,1204,15.1,5,75.3,68.4,56,57.3,90,68,1272,0,989,89.9,0,0,3,0.6,13,WR
36,Stefon Diggs,13,12,2019,26,MIN,15,15,94,63,1130,17.9,6,75.3,67,41,58.5,68,61,1191,0,772,75.4,0,0,2,0.5,13,WR
37,A.J. Green,13,9.8,2015,27,CIN,16,16,132,86,1297,15.1,10,81.1,65.2,63,60.6,86,0,1297,0,931,88.2,0,0,2,0.5,13,WR
38,Rob Gronkowski,13,10.3,2017,28,NWE,14,14,105,69,1084,15.7,8,77.4,65.7,57,60,69,0,1084,0,903,79.3,1,0.1,4,0.9,13,TE
39,Tyreek Hill,13,11.3,2017,23,KAN,15,13,105,75,1183,15.8,7,78.9,71.4,40,56.2,92,59,1242,204,776,75.6,0,0,65,14.1,13,WR
40,DeAndre Hopkins,13,9.6,2018,26,HOU,16,16,163,115,1572,13.7,11,98.3,70.6,81,61.3,116,-7,1565,0,1084,99.1,2,0.2,2,0.4,13,WR
41,Justin Jefferson,13,11.2,2020,21,MIN,16,14,125,88,1400,15.9,7,87.5,70.4,58,61.6,89,2,1402,0,886,81.7,0,0,0,0,13,WR
42,Justin Jefferson,13,9.7,2021,22,MIN,17,17,167,108,1616,15,10,95.1,64.7,75,55.7,114,49,1630,0,1014,88.9,0,0,0,0,13,WR
43,Travis Kelce,13,9,2019,30,KAN,16,16,136,97,1229,12.7,5,76.8,71.3,65,64,98,4,1233,0,971,92.5,1,0.1,0,0,13,TE
44,Brandon Marshall,13,8.7,2015,31,NYJ,16,16,173,109,1502,13.8,14,93.9,63,76,57.2,109,0,1502,0,1058,95.3,0,0,8,1.7,13,WR
45,D.K. Metcalf,13,10.1,2020,23,SEA,16,16,129,83,1303,15.7,10,81.4,64.3,63,58.1,83,0,1303,0,980,92,0,0,2,0.4,13,WR
46,D.J. Moore,13,10,2023,26,CHI,17,17,136,96,1364,14.2,8,80.2,70.6,64,59.6,100,21,1385,0,1029,90.4,0,0,2,0.5,13,WR
47,Greg Olsen,13,8.9,2015,30,CAR,16,16,124,77,1104,14.3,7,69,62.1,52,53.2,77,0,1104,0,1057,95.9,0,0,3,0.6,13,TE
48,DeVonta Smith,13,8.8,2022,24,PHI,17,17,136,95,1196,12.6,7,70.4,69.9,57,54.4,95,0,1196,15,1083,91.9,0,0,9,2,13,WR
49,Amon-Ra St. Brown,13,8,2022,23,DET,16,16,146,106,1161,11,6,72.6,72.6,68,62.3,115,95,1256,0,832,72.9,0,0,3,0.7,13,WR
50,Adam Thielen,13,9,2017,27,MIN,16,16,142,91,1276,14,4,79.8,64.1,59,52.8,92,11,1287,0,1032,92.5,0,0,4,0.9,13,WR
51,Keenan Allen,12,8.8,2018,26,LAC,16,14,136,97,1196,12.3,6,74.8,71.3,62,63.2,106,68,1271,25,794,79.8,0,0,9,2.1,12,WR
52,Antonio Brown,12,8.3,2016,28,PIT,15,15,154,106,1284,12.1,12,85.6,68.8,64,51.3,109,9,1293,163,975,90,0,0,67,15.1,12,WR
53,Stefon Diggs,12,7.5,2021,28,BUF,17,17,164,103,1225,11.9,10,72.1,62.8,66,54.9,103,-2,1225,0,977,81.6,0,0,0,0,12,WR
54,Stefon Diggs,12,7.4,2023,30,BUF,17,17,160,107,1183,11.1,8,69.6,66.9,58,55,108,5,1188,0,949,81.5,0,0,1,0.2,12,WR
55,Rob Gronkowski,12,9.8,2015,26,NWE,15,15,120,72,1176,16.3,11,78.4,60,52,50,72,0,1176,5,937,84,0,0,8,1.6,12,TE
